Injeção de um pacote em cada porta, mede e depois repete

Injection 1:
Count = 1688854
Count = 1688853
Count = 1688860
Count = 1688852
Count = 1688856
Count = 1688848
Count = 1688850
Count = 1688856
Count = 1688859
Count = 1688853
Count = 1688852
Count = 1688860
Count = 1688856
Count = 1688852
Count = 1688852
Count = 1688860
Count = 1688852
Count = 1688848
Count = 1688848
Count = 1688856
Count = 1688860
Count = 1688860
Count = 1688852
Count = 1688856
Count = 1688864
Count = 1688860
Count = 1688856
Count = 1688856
Count = 1688863
Count = 1688856


Injection 2:
Count = 3376825
Count = 3376830
Count = 3376795
Count = 3376791
Count = 3376816
Count = 3376768
Count = 3376803
Count = 3376789
Count = 3376793
Count = 3376791
Count = 3376824
Count = 3376800
Count = 3376784
Count = 3376800
Count = 3376784
Count = 3376792
Count = 3376848
Count = 3376824
Count = 3376810
Count = 3376819
Count = 3376816
Count = 3376778
Count = 3376800
Count = 3376808
Count = 3376792
Count = 3376800
Count = 3376776
Count = 3376791
Count = 3376785
Count = 3376768
Count = 3376777
Count = 3376786
Count = 3376781
Count = 3376817
Count = 3376790
Count = 3376785
Count = 3376791

Injection 3:
Count = 5066810
Count = 5066818
Count = 5066769
Count = 5066789
Count = 5066779
Count = 5066808
Count = 5066808
Count = 5066808
Count = 5066844
Count = 5066844
Count = 5066832
Count = 5066796
Count = 5066797
Count = 5066852
Count = 5066809
Count = 5066832
Count = 5066820
Count = 5066808
Count = 5066791
Count = 5066794
Count = 5066795
Count = 5066803
Count = 5066810
Count = 5066802
Count = 5066859
Count = 5066823
Count = 5066842
Count = 5066830
Count = 5066822
Count = 5066830
Count = 5066810
Count = 5066809

Injection 4:
Count = 6779914
Count = 6779919
Count = 6779924
Count = 6779913
Count = 6779911
Count = 6779917
Count = 6779915
Count = 6779920
Count = 6779927
Count = 6779919
Count = 6779916
Count = 6779923
Count = 6779926
Count = 6779917
Count = 6779918
Count = 6779916
Count = 6779926
Count = 6779920
Count = 6779918
Count = 6779914
Count = 6779907
Count = 6779911
Count = 6779915
Count = 6779919
Count = 6779903
Count = 6779912
Count = 6779912
Count = 6779918
Count = 6779914
Count = 6779919
Count = 6779918
Count = 6779916
Count = 6779918
Count = 6779918
Count = 6779917
Count = 6779920
Count = 6779928
Count = 6779920
Count = 6779917
Count = 6779917

Injection 6:
Count = 10063382
Count = 10063419
Count = 10063376
Count = 10063441
Count = 10063392
Count = 10063397
Count = 10063367
Count = 10063369
Count = 10063371
Count = 10063385
Count = 10063394
Count = 10063372
Count = 10063411
Count = 10063395
Count = 10063389
Count = 10063388
Count = 10063421
Count = 10063368
Count = 10063377
Count = 10063378
Count = 10063392
Count = 10063397

Injection 9:
Count = 14929332
Count = 14929391
Count = 14929406
Count = 14929492
Count = 14929463
Count = 14929228
Count = 14929280
Count = 14929301
Count = 14929398
Count = 14929266
Count = 14929376
Count = 14929302
Count = 14929318
Count = 14929364
Count = 14929490
Count = 14929601
Count = 14929376
Count = 14929479
Count = 14929445
Count = 14929546
Count = 14929475
Count = 14929456
Count = 14929547
Count = 14929404
Count = 14929451
Count = 14929484
Count = 14929468
Count = 14929487
Count = 14929414
Count = 14929579
Count = 14929409
Count = 14929489
Count = 14929305

Injection 10:
Count = 16341656
Count = 16537223
Count = 16537229
Count = 16537233
Count = 16537229
Count = 16537223
Count = 16537218
Count = 16537231
Count = 16537239
Count = 16537216
Count = 16537220
Count = 16537221
Count = 16537228
Count = 16537227
Count = 16537218
Count = 16537236
Count = 16537223
Count = 16537215
Count = 16537235
Count = 16537224
Count = 16537232
Count = 16537222
Count = 16537220
Count = 16537224
Count = 16537226
Count = 16537234
Count = 16537231
Count = 16537236
Count = 16537227
Count = 16537230
Count = 16537232
Count = 16537238

Injection 11:
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
