njeção de um pacote em cada porta, mede e depois repete

Injection 1:
Count = 1126732
Count = 1126736
Count = 1126736
Count = 1126740
Count = 1126729
Count = 1126731
Count = 1126736
Count = 1126731
Count = 1126734
Count = 1126743
Count = 1126740
Count = 1126731
Count = 1126745
Count = 1126736
Count = 1126735
Count = 1126729
Count = 1126740
Count = 1126732
Count = 1126728
Count = 1126748
Count = 1126732
Count = 1126728
Count = 1126736
Count = 1126728
Count = 1126732
Count = 1126732
Count = 1126728
Count = 1126732
Count = 1126720
Count = 1126740
Count = 1126732

Injection 2:
Count = 2253473
Count = 2253463
Count = 2253451
Count = 2253469
Count = 2253458
Count = 2253454
Count = 2253443
Count = 2253459
Count = 2253459
Count = 2253467
Count = 2253474
Count = 2253480
Count = 2253446
Count = 2253460
Count = 2253445
Count = 2253457
Count = 2253464
Count = 2253474
Count = 2253456
Count = 2253455
Count = 2253445
Count = 2253480
Count = 2253475
Count = 2253433
Count = 2253468
Count = 2253452
Count = 2253456
Count = 2253457
Count = 2253446
Count = 2253471
Count = 2253450

Injection 3:
Count = 3380462
Count = 3380419
Count = 3380456
Count = 3380411
Count = 3380458
Count = 3380466
Count = 3380469
Count = 3380456
Count = 3380445
Count = 3380490
Count = 3380450
Count = 3380445
Count = 3380488
Count = 3380443
Count = 3380475
Count = 3380459
Count = 3380486
Count = 3380471
Count = 3380452
Count = 3380493
Count = 3380475
Count = 3380468
Count = 3380425
Count = 3380456
Count = 3380451

Injection 6:
Count = 6699873
Count = 6699912
Count = 6699913
Count = 6699891
Count = 6699891
Count = 6699900
Count = 6699889
Count = 6699926
Count = 6699898
Count = 6699893
Count = 6699896
Count = 6699908
Count = 6699900
Count = 6699891
Count = 6699892
Count = 6699892
Count = 6699907
Count = 6699901
Count = 6699896
Count = 6699910
Count = 6699893
Count = 6699901
Count = 6699910
Count = 6699901
Count = 6699893
Count = 6699895
Count = 6699910
Count = 6699871
Count = 6699836
Count = 6699892

Injection 9:
Count = 9942165
Count = 9942185
Count = 9942195
Count = 9942201
Count = 9942094
Count = 9942125
Count = 9942164
Count = 9942164
Count = 9942184
Count = 9942072
Count = 9942185
Count = 9942194
Count = 9942211
Count = 9942201
Count = 9942073
Count = 9942212
Count = 9942101
Count = 9942161
Count = 9942097
Count = 9942195
Count = 9942139
Count = 9942184
Count = 9942234
Count = 9942199
Count = 9942234
Count = 9942133
Count = 9942161
Count = 9942124
Count = 9942139
Count = 9942181
Count = 9942101
Count = 9942137
Count = 9942151
Count = 9942214
Count = 9942182

Injection 12:
Count = 13191951
Count = 13191983
Count = 13192033
Count = 13191968
Count = 13192206
Count = 13192077
Count = 13191951
Count = 13192158
Count = 13191942
Count = 13192090
Count = 13192027
Count = 13191852
Count = 13191987
Count = 13192179
Count = 13192102
Count = 13192036
Count = 13191921
Count = 13192020
Count = 13192036
Count = 13192066
Count = 13192184
Count = 13192060
Count = 13192156
Count = 13192125
Count = 13191813
Count = 13192056
Count = 13191957
Count = 13192025
Count = 13192044
Count = 13191884
Count = 13192159
Count = 13191930

Injection 13:
Count = 14218618
Count = 14218618
Count = 14218607
Count = 14218607
Count = 14218621
Count = 14218630
Count = 14218618
Count = 14218620
Count = 14218615
Count = 14218613
Count = 14218605
Count = 14218623
Count = 14218612
Count = 14218619
Count = 14218614
Count = 14218616
Count = 14218624
Count = 14218611
Count = 14218617
Count = 14218614
Count = 14218609
Count = 14218633
Count = 14218623
Count = 14218617
Count = 14218626
Count = 14218620
Count = 14218620
Count = 14218617
Count = 14218620
Count = 14218630
Count = 14218634
Count = 14218621
Count = 14218622
Count = 14218620

Injection 14:
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714

Injection 15:
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
Count = 14285714
Count = 14285715
Count = 14285714
