Injection 1:
Count = 1671569
Count = 1671576
Count = 1671571
Count = 1671576
Count = 1671572
Count = 1671571
Count = 1671573
Count = 1671576
Count = 1671568
Count = 1671572
Count = 1671568
Count = 1671572
Count = 1671577
Count = 1671567
Count = 1671573
Count = 1671571
Count = 1671576
Count = 1671572
Count = 1671568
Count = 1671568
Count = 1671573
Count = 1671582


Injection 2:
Count = 3342626
Count = 3342622
Count = 3342608
Count = 3342617
Count = 3342628
Count = 3342569
Count = 3342610
Count = 3342625
Count = 3342607
Count = 3342624
Count = 3342624
Count = 3342625
Count = 3342567
Count = 3342609
Count = 3342616
Count = 3342626
Count = 3342616
Count = 3342632
Count = 3342621
Count = 3342624
Count = 3342630
Count = 3342626
Count = 3342623
Count = 3342617
Count = 3342593
Count = 3342613
Count = 3342648
Count = 3342622
Count = 3342531
Count = 3342636
Count = 3342618

Injection 3:
Count = 5012580
Count = 5012577
Count = 5012568
Count = 5012561
Count = 5012566
Count = 5012573
Count = 5012567
Count = 5012541
Count = 5012566
Count = 5012568
Count = 5012559
Count = 5012568
Count = 5012554
Count = 5012560
Count = 5012539
Count = 5012569
Count = 5012571
Count = 5012549
Count = 5012554
Count = 5012558
Count = 5012567
Count = 5012543
Count = 5012560
Count = 5012563
Count = 5012558
Count = 5012559
Count = 5012552

Injection 4:
Count = 6660334
Count = 6660312
Count = 6660348
Count = 6660331
Count = 6660333
Count = 6660334
Count = 6660322
Count = 6660321
Count = 6660349
Count = 6660319
Count = 6660337
Count = 6660353
Count = 6660292
Count = 6660318
Count = 6660348
Count = 6660318
Count = 6660337
Count = 6660336
Count = 6660346
Count = 6660323
Count = 6660333
Count = 6660339
Count = 6660324
Count = 6660329
Count = 6660309
Count = 6660331
Count = 6660350
Count = 6660342
Count = 6660332
Count = 6660326
Count = 6660319
Count = 6660322
Count = 6660308
Count = 6660324
Count = 6660330
Count = 6660303
Count = 6660321
Count = 6660327
Count = 6660333
Count = 6660348
Count = 6660338
Count = 6660334
Count = 6660337
Count = 6660341
Count = 6660313


Injection 6:
Count = 9891916
Count = 9891966
Count = 9891925
Count = 9891887
Count = 9891907
Count = 9891901
Count = 9891979
Count = 9891952
Count = 9891926
Count = 9891947
Count = 9891943
Count = 9891952
Count = 9891906
Count = 9891903
Count = 9891897
Count = 9891885
Count = 9891945
Count = 9891989
Count = 9891959
Count = 9891950
Count = 9891924
Count = 9891934
Count = 9891924
Count = 9891944
Count = 9891954
Count = 9891896
Count = 9891921
Count = 9891914
Count = 9891926

Injection 9:
Count = 14682754
Count = 14682712
Count = 14682693
Count = 14682825
Count = 14682763
Count = 14682654
Count = 14682749
Count = 14682735
Count = 14682806
Count = 14682741
Count = 14682846
Count = 14682828
Count = 14682811
Count = 14682715
Count = 14682695
Count = 14682795
Count = 14682689
Count = 14682729
Count = 14682623
Count = 14682709
Count = 14682871
Count = 14682679
Count = 14682749
Count = 14682849
Count = 14682714
Count = 14682812
Count = 14682699
Count = 14682830
Count = 14682764
Count = 14682784
Count = 14682754
Count = 14682675
Count = 14683009
Count = 14682735

Injection 10:
Count = 16055897
Count = 16276667
Count = 16276620
Count = 16276638
Count = 16276596
Count = 16276638
Count = 16276608
Count = 16276630
Count = 16276549
Count = 16276653
Count = 16276691
Count = 16276702
Count = 16276727
Count = 16276622
Count = 16276738
Count = 16276642
Count = 16276558
Count = 16276605
Count = 16276590
Count = 16276649
Count = 16276586
Count = 16276610

Injection 11:
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
Count = 16666667
Count = 16666666
Count = 16666667
Count = 16666667
